index,   freq_ppm,   decay_hz, amplitude
   1,     9.3963,     14.700,    7.638891e-02
   2,     9.4153,     14.700,    7.631750e-02
   3,     9.4422,     14.700,    7.798485e-02
   4,     9.4696,     14.700,    9.212974e-02
   5,     9.4826,     14.700,    1.157650e-01
   6,     9.3096,     14.700,    7.323228e-02
   7,     9.3213,      7.990,    3.692825e-02
   8,     9.3355,     14.700,    6.183391e-02
   9,     9.3478,      8.787,    3.005668e-02
  10,     9.3601,     14.700,    5.605873e-02
  11,     9.3706,     11.254,    5.598746e-02
  12,     9.3817,     14.700,    9.650479e-02
  13,     9.2410,     11.162,    4.643675e-02
  14,     9.2508,     13.434,    7.296221e-02
  15,     9.2663,     14.700,    1.088313e-01
  16,     9.2825,     14.082,    7.757594e-02
  17,     9.2983,     14.700,    1.194316e-01
  18,     9.1769,     13.578,    1.049828e-01
  19,     9.1848,      3.535,    1.424114e-02
  20,     9.1988,     14.700,    8.000413e-02
  21,     9.2174,     14.548,    9.968457e-02
  22,     9.2326,     14.700,    5.798279e-02
  23,     9.1086,     14.334,    1.051697e-01
  24,     9.1201,     14.700,    5.645517e-02
  25,     9.1295,      5.240,    2.857932e-02
  26,     9.1403,      7.614,    3.198462e-02
  27,     9.1570,     14.700,    9.663621e-02
  28,     9.0698,      8.244,    5.028294e-02
  29,     9.0859,     14.700,    6.144069e-02
  30,     9.1007,      3.353,    1.261294e-02
  31,     9.0167,     13.890,    6.130851e-02
  32,     9.0258,      9.137,    5.650644e-02
  33,     9.0388,      8.818,    3.851981e-02
  34,     9.0488,     14.700,    6.890722e-02
  35,     9.0612,      9.434,    5.789018e-02
  36,     8.9612,      4.930,    3.946406e-02
  37,     8.9665,     14.700,    1.144824e-01
  38,     8.9759,     14.700,    1.247424e-01
  39,     8.9875,      5.171,    2.428137e-02
  40,     8.9985,     13.698,    1.173282e-01
  41,     9.0065,     14.700,    7.559869e-02
  42,     8.8960,     14.700,    1.220756e-01
  43,     8.9139,     14.682,    1.032906e-01
  44,     8.9256,     14.700,    8.705097e-02
  45,     8.9379,     14.700,    7.601982e-02
  46,     8.9505,     13.545,    5.722266e-02
  47,     8.8307,     13.033,    8.810223e-02
  48,     8.8558,     14.700,    1.367851e-01
  49,     8.8644,      0.345,    6.081607e-03
  50,     8.8756,     14.700,    7.707449e-02
  51,     8.8828,      3.426,    1.614664e-02
  52,     8.7802,      0.000,    9.894517e-04
  53,     8.7855,     14.700,    3.049937e-01
  54,     8.8015,      5.112,    4.273823e-02
  55,     8.8108,     14.700,    1.059568e-01
  56,     8.8134,      1.165,    4.408025e-03
  57,     8.7022,     14.700,    9.491766e-02
  58,     8.7205,     14.700,    6.688817e-02
  59,     8.7358,     14.698,    6.837375e-02
  60,     8.7480,     14.700,    5.166873e-02
  61,     8.7624,     14.700,    1.114962e-01
  62,     8.6609,      6.260,    1.174290e-02
  63,     8.6647,     12.692,    5.197417e-02
  64,     8.6762,     10.239,    4.452212e-02
  65,     8.6891,     11.570,    1.509038e-01
  66,     8.6369,     14.700,    1.175253e-01
  67,     8.6484,      8.310,    5.380045e-02
  68,     8.6546,      9.568,    1.082852e-01
  69,     8.5182,     14.700,    1.158807e-01
  70,     8.5304,     14.700,    1.096399e-01
  71,     8.5411,     14.700,    7.369966e-02
  72,     8.5658,     14.700,    8.146986e-02
  73,     8.6018,      8.950,    6.981074e+00
  74,     8.6038,      6.364,    3.763395e+00
  75,     8.6055,      6.486,    2.074834e+00
  76,     8.4501,     14.700,    6.293841e-02
  77,     8.4621,     14.700,    1.478917e-01
  78,     8.4737,      7.777,    4.493482e-02
  79,     8.4797,      2.779,    1.953173e-02
  80,     8.4895,     10.098,    4.716471e-02
  81,     8.3949,      9.399,    2.847687e-02
  82,     8.4032,      5.766,    3.061308e-02
  83,     8.4179,     14.700,    2.129435e-01
  84,     8.4305,      7.785,    1.682057e-01
  85,     8.4411,      5.257,    2.611191e-02
  86,     8.3404,      7.787,    2.497099e+00
  87,     8.3419,      5.764,    7.162060e-01
  88,     8.3438,      0.000,    1.660868e-02
  89,     8.3508,      4.366,    2.313966e-02
  90,     8.3585,     14.700,    3.566369e-02
  91,     8.3787,     14.700,    9.703863e-02
  92,     8.2473,      7.373,    5.605502e-02
  93,     8.2608,      8.140,    1.660604e+00
  94,     8.2628,      1.031,    2.158764e-02
  95,     8.2760,      0.000,    4.415037e-03
  96,     8.2960,     14.408,    8.096965e-02
  97,     8.2036,      9.972,    1.699497e+00
  98,     8.2053,      0.283,    8.700248e-03
  99,     8.2308,      5.809,    3.226583e-02
 100,     8.2388,      3.496,    2.118602e-02
 101,     8.0487,     14.700,    7.734793e-02
 102,     8.0893,     14.700,    1.167237e-01
 103,     8.1108,     14.700,    1.168224e-01
 104,     8.1578,     14.642,    8.470087e-02
 105,     8.1776,      8.894,    1.661816e+00
 106,     7.9317,     14.700,    6.714563e-02
 107,     7.9473,     14.700,    3.099464e-01
 108,     7.9607,     13.622,    2.980578e-01
 109,     7.9881,     14.700,    4.183376e-02
 110,     7.9994,     14.700,    1.173798e-01
 111,     8.0195,     14.700,    1.018157e-01
 112,     7.8686,      6.255,    4.014501e-02
 113,     7.8765,     12.676,    7.093334e-02
 114,     7.8838,      4.619,    1.534170e-02
 115,     7.8902,      7.586,    5.128863e-02
 116,     7.9069,     14.700,    5.550745e-02
 117,     7.9177,     13.623,    7.155471e-02
 118,     7.8128,      6.712,    5.180163e+00
 119,     7.8145,      4.803,    5.733735e+00
 120,     7.8164,      5.296,    8.545545e+00
 121,     7.8184,      8.482,    8.040441e+00
 122,     7.8266,      8.702,    1.012531e+01
 123,     7.8288,      6.206,    8.651757e+00
 124,     7.8307,      6.795,    6.537861e+00
 125,     7.7570,     10.136,    1.258350e-01
 126,     7.7689,      6.807,    5.086970e-02
 127,     7.7834,     11.635,    1.095226e-01
 128,     7.6932,      4.346,    5.310906e-02
 129,     7.7179,      6.063,    9.320440e-01
 130,     7.7198,      5.572,    1.326850e+00
 131,     7.7215,      7.162,    1.386986e+00
 132,     7.7321,      7.721,    2.014542e+00
 133,     7.7344,      6.930,    1.563631e+00
 134,     7.6356,      9.420,    2.695678e+00
 135,     7.6381,      7.595,    1.903316e+00
 136,     7.6768,     14.700,    3.443175e-01
 137,     7.5493,      8.830,    7.916529e+00
 138,     7.5517,      7.759,    1.119813e+01
 139,     7.6121,      9.704,    8.015795e+00
 140,     7.6244,     10.510,    1.278961e+01
 141,     7.5253,     12.358,    1.899030e+01
 142,     7.5369,      8.759,    1.490218e+01
 143,     7.5392,      9.328,    1.991172e+01
 144,     7.4713,     12.020,    1.081830e-01
 145,     7.4861,     11.455,    1.519803e-01
 146,     7.4983,     12.489,    2.244844e-01
 147,     7.4302,     11.910,    2.917472e+00
 148,     7.3760,      9.884,    1.320614e+00
 149,     7.3789,      7.668,    1.536849e+00
 150,     7.4056,      9.821,    5.120470e+00
 151,     7.4180,     10.750,    7.325334e+00
 152,     7.3076,      8.128,    4.035973e+00
 153,     7.3122,     12.141,    7.488763e+00
 154,     7.3237,      8.253,    4.842935e+00
 155,     7.3265,      6.214,    2.593017e+00
 156,     7.3627,      9.356,    1.003265e+01
 157,     7.3654,      8.801,    8.986541e+00
 158,     7.2616,      9.123,    2.168437e+00
 159,     7.2733,      8.097,    1.922830e+00
 160,     7.2757,      7.827,    1.860528e+00
 161,     7.2870,      9.675,    1.874213e+00
 162,     7.2027,      8.084,    1.485270e+00
 163,     7.2047,      6.385,    8.585035e-01
 164,     7.1775,      6.653,    7.457402e-01
 165,     7.1796,      7.252,    9.063191e-01
 166,     7.1895,      7.515,    1.335675e+00
 167,     7.1913,      7.060,    1.633573e+00
 168,     7.1929,      8.640,    1.237453e+00
 169,     7.0781,     14.700,    8.435728e-02
 170,     7.0926,      7.512,    2.779889e-02
 171,     7.1036,     14.700,    4.611792e-02
 172,     7.1275,      7.031,    4.090106e-02
 173,     7.1396,     14.700,    9.073687e-02
 174,     7.1550,     14.700,    1.731279e-01
 175,     7.0416,     14.700,    1.097450e-01
 176,     7.0497,      8.590,    6.363215e-02
 177,     7.0566,      8.614,    5.873066e-02
 178,     7.0684,     13.628,    1.026649e-01
 179,     6.9458,     14.700,    1.012895e-01
 180,     6.9625,     14.700,    1.264589e-01
 181,     6.9827,     14.700,    1.116443e-01
 182,     6.9934,     14.700,    8.923497e-02
 183,     7.0050,     14.700,    9.964129e-02
 184,     7.0230,     14.512,    1.118573e-01
 185,     6.8891,     14.700,    1.344379e-01
 186,     6.8963,      7.590,    4.279881e-02
 187,     6.9093,      7.362,    5.449982e-02
 188,     6.9161,     10.508,    7.697476e-02
 189,     6.9257,     14.413,    7.595382e-02
 190,     6.8592,     14.700,    1.252656e-01
 191,     6.8661,      9.644,    5.752676e-02
 192,     6.8692,      2.711,    1.433027e-02
 193,     6.8756,      0.000,    3.166784e-03
 194,     6.8782,      7.251,    4.075602e-02
 195,     6.7939,     13.425,    8.925286e-02
 196,     6.8022,     10.748,    5.488473e-02
 197,     6.8221,     14.700,    1.359248e-01
 198,     6.8287,     10.572,    3.554527e-02
 199,     6.8435,     10.988,    8.779032e-02
 200,     6.7459,      2.506,    1.209953e-02
 201,     6.7536,      7.326,    3.835920e-02
 202,     6.7588,      8.352,    1.696628e-02
 203,     6.7666,     11.904,    8.902054e-02
 204,     6.7825,      9.463,    4.441064e-02
 205,     6.6526,     14.700,    5.667698e-02
 206,     6.6620,     14.700,    8.713198e-02
 207,     6.6749,     14.700,    1.279607e-01
 208,     6.6936,     14.700,    9.144166e-02
 209,     6.7110,     14.700,    9.262342e-02
 210,     6.7243,     13.757,    4.248072e-02
 211,     6.7339,     14.700,    8.186891e-02
 212,     6.6274,      8.680,    3.640509e-02
 213,     6.6388,      8.208,    6.666718e-02
 214,     6.6420,      2.244,    4.374864e-03
 215,     6.6495,      0.763,    1.319630e-03
 216,     6.6028,     14.298,    1.633742e-01
 217,     6.6115,      6.833,    2.061259e-02
 218,     6.6236,     14.700,    6.030468e-02
 219,     6.5689,      6.074,    4.050204e-02
 220,     6.5770,      7.982,    3.591790e-02
 221,     6.5808,      1.439,    3.826034e-04
 222,     6.5886,      7.544,    5.052474e-02
 223,     6.4869,     14.639,    9.754475e-02
 224,     6.5111,     14.700,    6.873590e-02
 225,     6.5274,     14.700,    8.646357e-02
 226,     6.5418,     14.700,    1.329431e-01
 227,     6.5580,     14.700,    8.662426e-02
 228,     6.4312,     11.138,    6.934587e-02
 229,     6.4360,      4.202,    1.785582e-02
 230,     6.4426,     14.700,    1.007562e-01
 231,     6.4658,     14.700,    9.402204e-02
 232,     6.4731,     14.700,    7.962160e-02
 233,     6.3832,     14.700,    6.790633e-02
 234,     6.3933,     13.877,    7.529455e-02
 235,     6.4060,     14.260,    6.455161e-02
 236,     6.4136,     12.125,    7.962035e-02
 237,     6.4225,      5.538,    2.722253e-02
 238,     6.3205,     14.700,    9.656711e-02
 239,     6.3282,     14.700,    9.045879e-02
 240,     6.3448,     13.401,    4.734198e-02
 241,     6.3550,     12.881,    1.059272e-01
 242,     6.3727,     14.700,    7.997266e-02
 243,     6.2657,      9.014,    8.257285e-02
 244,     6.2773,      9.729,    6.568241e-02
 245,     6.2854,     14.432,    1.038233e-01
 246,     6.2927,      7.585,    5.231971e-02
 247,     6.2140,     14.608,    1.192129e-01
 248,     6.2278,     13.834,    7.012951e-02
 249,     6.2338,      5.330,    1.823286e-02
 250,     6.2432,     14.700,    1.077586e-01
 251,     6.2524,     13.991,    9.092434e-02
 252,     6.1857,     12.739,    3.765871e-02
 253,     6.1952,     13.732,    8.246190e-02
 254,     6.2031,     14.700,    1.009064e-01
 255,     6.1168,     14.700,    9.437455e-02
 256,     6.1314,     14.700,    5.795554e-02
 257,     6.1440,     14.700,    8.782576e-02
 258,     6.1562,     14.700,    7.144284e-02
 259,     6.1699,      9.484,    3.752387e-02
 260,     6.0657,      7.456,    8.791695e-01
 261,     6.0674,      7.637,    8.393743e-01
 262,     6.0760,      6.716,    8.993312e-01
