index,   freq_ppm,   decay_hz, amplitude
   1,     9.4255,     14.700,    6.198966e-02
   2,     9.4423,     14.700,    8.864702e-02
   3,     9.4544,     14.700,    5.074134e-02
   4,     9.4678,     14.700,    7.584547e-02
   5,     9.4771,     12.321,    2.648357e-02
   6,     9.4817,     14.700,    1.173905e-01
   7,     9.3706,     11.612,    5.653109e-02
   8,     9.3784,     14.700,    7.134621e-02
   9,     9.3905,     14.700,    9.031920e-02
  10,     9.4052,     14.700,    7.885352e-02
  11,     9.4177,     12.159,    5.117042e-02
  12,     9.3162,      4.214,    1.099288e-02
  13,     9.3213,     14.700,    1.530454e-01
  14,     9.3348,     13.779,    1.119924e-01
  15,     9.3460,     13.811,    7.291085e-02
  16,     9.3560,     14.625,    7.636832e-02
  17,     9.2520,     14.082,    6.965610e-02
  18,     9.2636,     14.700,    1.110214e-01
  19,     9.2822,     14.700,    6.381468e-02
  20,     9.2928,     14.420,    1.236812e-01
  21,     9.3039,     14.546,    6.560865e-02
  22,     9.1962,      5.194,    2.086184e-02
  23,     9.2036,     11.751,    1.035347e-01
  24,     9.2200,     12.826,    6.971903e-02
  25,     9.2351,     14.700,    1.198378e-01
  26,     9.2414,      8.391,    1.876115e-02
  27,     9.0803,     14.700,    1.212209e-01
  28,     9.0954,     14.700,    7.252289e-02
  29,     9.1184,     14.700,    9.082020e-02
  30,     9.1401,     14.700,    1.024682e-01
  31,     9.1611,     14.700,    1.064858e-01
  32,     9.1720,     14.492,    9.213379e-02
  33,     9.1817,     14.700,    1.000915e-01
  34,     9.0145,     14.700,    9.329993e-02
  35,     9.0251,      1.467,    7.178868e-03
  36,     9.0359,     13.329,    8.311961e-02
  37,     9.0441,     12.624,    8.971105e-03
  38,     9.0519,     14.700,    5.090244e-02
  39,     8.9755,      8.697,    5.105572e-02
  40,     8.9850,     10.757,    8.126284e-02
  41,     8.9893,      2.759,    1.725877e-02
  42,     8.9978,      8.727,    6.813461e-02
  43,     8.9122,     14.385,    9.087989e-02
  44,     8.9260,     14.700,    1.067467e-01
  45,     8.9458,     14.700,    9.277663e-02
  46,     8.9576,     14.545,    9.820942e-02
  47,     8.9706,     14.700,    1.090525e-01
  48,     8.7264,     14.700,    1.405554e-01
  49,     8.7560,     14.700,    1.157002e-01
  50,     8.7792,     14.700,    1.125095e-01
  51,     8.8184,     14.700,    3.924460e-01
  52,     8.8444,     14.700,    1.082318e-01
  53,     8.8673,     14.700,    1.451962e-01
  54,     8.8951,     14.700,    1.707351e-01
  55,     8.5914,     14.700,    1.114843e-01
  56,     8.6346,      8.267,    5.660478e+00
  57,     8.6361,      5.231,    2.953694e+00
  58,     8.6377,      4.589,    2.569935e+00
  59,     8.6394,      6.580,    1.602073e+00
  60,     8.6992,     14.700,    6.307240e-02
  61,     8.7146,     14.700,    5.608783e-02
  62,     8.4662,     14.700,    7.695962e-02
  63,     8.4825,     14.700,    7.157057e-02
  64,     8.5031,     14.700,    5.434556e-02
  65,     8.5334,     11.667,    4.062299e-02
  66,     8.5442,     14.700,    8.215428e-02
  67,     8.5590,     14.700,    7.851160e-02
  68,     8.5777,     14.700,    9.756154e-02
  69,     8.4032,      5.366,    2.137888e-02
  70,     8.4172,      8.852,    2.042507e-01
  71,     8.4259,     10.930,    3.452002e-02
  72,     8.4420,      3.464,    1.525908e-02
  73,     8.4492,     10.952,    2.248714e-01
  74,     8.2048,      9.005,    1.291968e+00
  75,     8.2582,     10.598,    5.212869e-02
  76,     8.2712,      7.696,    1.384919e+00
  77,     8.3520,      7.901,    2.822436e+00
  78,     8.3541,      0.000,    1.723646e-02
  79,     8.3863,     14.367,    8.711156e-02
  80,     8.1388,     13.442,    4.956426e-02
  81,     8.1491,     14.209,    8.284325e-02
  82,     8.1631,     14.700,    1.048907e-01
  83,     8.1781,      9.130,    1.315749e+00
  84,     8.1889,     14.700,    1.011048e-01
  85,     8.0662,     14.296,    7.904685e-02
  86,     8.0772,     14.700,    1.231847e-01
  87,     8.0907,      9.939,    7.723009e-02
  88,     8.0996,     14.700,    1.081641e-01
  89,     8.1165,     14.196,    5.801132e-02
  90,     8.1273,     14.700,    1.018034e-01
  91,     7.9987,     14.608,    1.065354e-01
  92,     8.0135,     14.700,    1.484660e-01
  93,     8.0240,      3.093,    1.878659e-02
  94,     8.0307,     14.700,    6.396547e-02
  95,     8.0510,     12.003,    4.677362e-02
  96,     8.0575,     11.291,    5.607674e-02
  97,     7.9477,     12.615,    2.602109e-01
  98,     7.9506,      2.774,    1.397069e-02
  99,     7.9615,     11.879,    1.788171e-01
 100,     7.9711,      7.548,    3.376139e-02
 101,     7.9785,     14.700,    7.847910e-02
 102,     7.9147,      6.006,    1.176512e-02
 103,     7.9223,     12.913,    1.094349e-01
 104,     7.9289,      5.842,    2.590792e-02
 105,     7.9393,      4.999,    3.228204e-02
 106,     7.8766,     14.328,    6.157332e-02
 107,     7.8819,      7.378,    3.655162e-02
 108,     7.8906,     10.379,    3.151119e-02
 109,     7.8954,      6.908,    4.683912e-02
 110,     7.9019,      9.329,    3.586787e-02
 111,     7.8262,      8.706,    6.009542e+00
 112,     7.8285,      6.411,    6.704736e+00
 113,     7.8306,      7.570,    7.023466e+00
 114,     7.8140,      7.260,    7.608189e+00
 115,     7.8165,      6.574,    8.836971e+00
 116,     7.8189,      9.030,    5.268873e+00
 117,     7.6924,      7.306,    8.775628e-02
 118,     7.7173,      1.287,    6.574719e-02
 119,     7.7193,      5.752,    1.060687e+00
 120,     7.7215,      7.284,    1.614651e+00
 121,     7.7325,      7.178,    1.330260e+00
 122,     7.7348,      7.096,    1.334037e+00
 123,     7.6597,     14.700,    1.766026e-01
 124,     7.6752,     14.700,    1.965082e-01
 125,     7.6818,     14.700,    1.550772e-01
 126,     7.6122,      7.592,    2.840911e+00
 127,     7.6146,      8.075,    3.151099e+00
 128,     7.6233,      7.174,    1.854825e+00
 129,     7.6256,      6.595,    4.209478e+00
 130,     7.6278,      7.920,    2.664881e+00
 131,     7.6371,      7.605,    1.745980e+00
 132,     7.6396,      6.389,    1.112796e+00
 133,     7.5259,     11.928,    1.439234e+01
 134,     7.5363,      6.965,    4.676741e+00
 135,     7.5386,      6.559,    1.042836e+01
 136,     7.5407,      7.538,    8.594848e+00
 137,     7.5504,      7.966,    6.015491e+00
 138,     7.5526,      7.461,    7.237714e+00
 139,     7.4882,     14.440,    9.886448e-02
 140,     7.4992,     12.087,    1.346842e-01
 141,     7.5134,      8.955,    1.736335e+00
 142,     7.4444,      8.560,    7.993940e-02
 143,     7.4569,     10.164,    1.218458e-01
 144,     7.4680,     10.725,    7.210136e-02
 145,     7.4734,      3.917,    2.253217e-02
 146,     7.4058,     10.741,    4.555533e+00
 147,     7.4166,      7.061,    1.415404e+00
 148,     7.4188,      9.497,    4.149704e+00
 149,     7.4294,      7.618,    8.955565e-01
 150,     7.4319,      7.069,    7.843202e-01
 151,     7.3541,      7.419,    4.412735e-01
 152,     7.3665,     10.218,    2.361486e+00
 153,     7.3744,      8.308,    6.844773e+00
 154,     7.3763,      5.571,    5.090721e+00
 155,     7.3781,      5.206,    4.139553e+00
 156,     7.3802,      5.621,    1.657137e+00
 157,     7.2872,      6.710,    9.022356e-01
 158,     7.3082,      7.866,    3.095698e+00
 159,     7.3124,     11.671,    5.836316e+00
 160,     7.3238,      8.789,    4.184351e+00
 161,     7.3267,      6.691,    2.124670e+00
 162,     7.2610,      6.255,    6.021623e-01
 163,     7.2631,      7.333,    9.001777e-01
 164,     7.2731,      7.660,    9.374203e-01
 165,     7.2750,      6.217,    8.963252e-01
 166,     7.2768,      7.911,    1.069297e+00
 167,     7.1906,      8.124,    1.610498e+00
 168,     7.1926,      8.140,    1.444312e+00
 169,     7.2028,      5.599,    6.347458e-01
 170,     7.2047,      5.385,    7.718850e-01
 171,     7.2068,      5.692,    3.147274e-01
 172,     7.1386,     14.700,    1.183692e-01
 173,     7.1541,     14.700,    1.009497e-01
 174,     7.1784,      8.090,    7.289657e-01
 175,     7.1802,      9.922,    8.145365e-01
 176,     7.0263,     14.700,    8.541043e-02
 177,     7.0450,     14.700,    9.007092e-02
 178,     7.0676,     14.700,    8.243545e-02
 179,     7.1011,     14.700,    7.980457e-02
 180,     7.1141,     14.700,    4.732380e-02
 181,     7.1293,     14.700,    6.497943e-02
 182,     6.9688,      4.224,    2.000180e-02
 183,     6.9764,     13.040,    8.022151e-02
 184,     6.9855,     14.700,    8.242189e-02
 185,     7.0060,      7.834,    6.448408e-03
 186,     7.0062,     13.830,    7.490978e-02
 187,     6.9552,     14.700,    9.211273e-02
 188,     6.8503,     13.904,    6.922366e-02
 189,     6.8645,     14.700,    9.650562e-02
 190,     6.8776,     14.700,    1.329590e-01
 191,     6.8955,     14.647,    7.166187e-02
 192,     6.9036,      6.070,    3.170740e-02
 193,     6.7294,     14.700,    8.683173e-02
 194,     6.7483,     14.700,    6.996100e-02
 195,     6.7628,     14.635,    7.849520e-02
 196,     6.7780,     14.700,    8.960106e-02
 197,     6.8064,     14.700,    1.015582e-01
 198,     6.8206,     14.700,    1.343482e-01
 199,     6.8376,     14.695,    7.389093e-02
 200,     6.6665,     14.700,    1.203493e-01
 201,     6.6790,      5.952,    2.779938e-02
 202,     6.6901,      4.514,    2.879474e-02
 203,     6.6976,     14.700,    1.153291e-01
 204,     6.7071,     14.700,    9.953547e-02
 205,     6.5938,     14.676,    1.030864e-01
 206,     6.6085,     14.700,    9.913161e-02
 207,     6.6197,      5.540,    2.112363e-02
 208,     6.6282,     14.382,    7.939401e-02
 209,     6.6416,     14.700,    2.542130e-02
 210,     6.5386,     10.133,    2.687211e-02
 211,     6.5484,      8.588,    2.982974e-02
 212,     6.5545,      8.543,    5.293051e-02
 213,     6.5665,      9.538,    6.438750e-02
 214,     6.5794,     13.037,    9.763802e-02
 215,     6.4820,      4.593,    2.945016e-02
 216,     6.4932,     13.518,    2.715476e-02
 217,     6.5029,     14.700,    1.128434e-01
 218,     6.5150,     13.352,    8.337523e-02
 219,     6.5300,      6.014,    3.728266e-02
 220,     6.4137,     14.700,    9.941452e-02
 221,     6.4291,     14.700,    7.534470e-02
 222,     6.4464,     13.921,    1.057138e-01
 223,     6.4621,     14.700,    1.114522e-01
 224,     6.4744,     10.759,    3.434813e-02
 225,     6.3386,     11.227,    4.892443e-02
 226,     6.3485,     14.700,    8.726743e-02
 227,     6.3702,     14.700,    5.225017e-02
 228,     6.3819,     11.004,    7.101088e-02
 229,     6.3997,     13.623,    7.367168e-02
 230,     6.2835,      7.553,    1.631743e-02
 231,     6.2914,     13.721,    5.486415e-02
 232,     6.2968,      6.830,    4.642369e-02
 233,     6.3066,     13.070,    6.375992e-02
 234,     6.3171,      7.096,    4.563279e-02
 235,     6.3278,      7.926,    3.386727e-02
 236,     6.1763,     14.700,    4.563845e-02
 237,     6.1944,     14.700,    7.846661e-02
 238,     6.2045,     14.700,    5.900168e-02
 239,     6.2308,     14.694,    1.103112e-01
 240,     6.2444,     14.700,    6.538136e-02
 241,     6.2574,     14.700,    7.168733e-02
 242,     6.2690,      7.131,    4.008952e-02
 243,     6.0553,      9.636,    4.279674e-02
 244,     6.0715,      8.305,    1.484061e+00
 245,     6.0817,      8.067,    1.396147e+00
 246,     6.1230,     14.700,    4.621035e-02
 247,     6.1334,     14.700,    6.199000e-02
 248,     6.1481,     14.700,    5.639799e-02
 249,     6.1641,     14.700,    6.289351e-02
 250,     6.0079,      2.469,    1.630764e-02
 251,     6.0173,     14.700,    8.867193e-02
 252,     6.0296,      8.677,    4.099349e-02
 253,     6.0373,     11.182,    5.758671e-02
 254,     5.9309,     14.552,    6.918790e-02
 255,     5.9421,     14.700,    9.870048e-02
 256,     5.9556,     14.700,    8.639239e-02
 257,     5.9662,     14.700,    1.191308e-01
 258,     5.9871,     14.700,    6.184943e-02
 259,     5.9971,     12.764,    1.007729e-01
 260,     5.7847,      7.846,    1.338184e+00
 261,     5.7975,      7.733,    1.362734e+00
 262,     5.8337,     14.700,    1.092284e-01
 263,     5.8546,     14.700,    1.026202e-01
 264,     5.8741,     14.700,    7.745440e-02
 265,     5.8857,     14.700,    7.416314e-02
 266,     5.8994,     14.700,    1.091125e-01
 267,     5.7202,      5.779,    2.084208e-02
 268,     5.7323,     10.739,    7.798410e-02
